AgeSubject,Word,LengthInLetters,WrittenFrequency,WordCategory,RTlexdec,RTnaming
young,doe,3,3.91202300542815,N,694.8899999999974,466.39999999999867
young,whore,5,4.52178857704904,N,600.3999999999961,516.4000000000013
young,stress,6,6.50578406012823,N,547.2699999999971,465.7999999999996
young,pork,4,5.01727983681492,N,616.6,460.3000000000018
young,plug,4,4.89034912822175,N,633.0799999999982,492.00000000000074
young,prop,4,4.77068462446567,N,686.749999999998,477.09999999999945
young,dawn,4,6.383506634884,N,584.3999999999975,456.60000000000224
young,dog,3,7.15929190479756,N,526.8199999999974,444.10000000000156
young,arc,3,4.89034912822175,N,741.4800000000012,453.79999999999933
young,skirt,5,5.92958914338989,N,536.3799999999985,482.5999999999994
young,spree,5,3.40119738166216,N,740.3799999999969,491.1000000000005
young,are,3,11.2796936982972,N,610.5699999999995,485.2000000000022
young,sprig,5,3.52636052461616,N,760.2000000000012,491.7000000000032
young,pipe,4,5.99893656194668,N,562.9300000000013,465.4999999999992
young,hooch,5,1.94591014905531,N,646.8599999999992,505.70000000000124
young,guard,5,6.59441345974978,N,558.8999999999987,471.70000000000175
young,tile,4,4.07753744390572,N,647.0699999999983,459.300000000001
young,slope,5,5.80211837537706,N,632.5399999999997,476.19999999999897
young,pile,4,6.16120732169508,N,594.7899999999983,468.50000000000153
young,greed,5,5.03043792139244,N,587.4999999999974,482.8000000000018
young,plum,4,3.97029191355212,N,616.6700000000019,497.399999999998
young,pith,4,2.484906649788,N,695.8599999999976,473.299999999999
young,whorl,5,0.693147180559945,N,777.000000000002,499.70000000000033
young,tide,4,6.08449941307517,N,597.9999999999987,468.30000000000183
young,jet,3,5.40717177146012,N,543.9300000000018,451.49999999999994
young,blitz,5,4.18965474202643,N,671.5900000000033,469.50000000000125
young,weed,4,5.12396397940326,N,558.3099999999993,448.90000000000157
young,prow,4,2.99573227355399,N,710.7300000000006,487.89999999999924
young,port,4,6.08449941307517,N,683.3600000000024,459.300000000001
young,beach,5,6.96696713861398,N,590.6599999999964,458.5000000000003
young,while,5,9.3061958576197,N,583.1100000000026,448.600000000001
young,jaw,3,5.40717177146012,N,540.4300000000014,462.09999999999974
young,arm,3,7.54802896993501,N,532.210000000001,456.9000000000018
young,plan,4,7.46278915741245,N,636.1000000000007,470.4000000000012
young,pill,4,5.4553211153577,N,572.3100000000021,463.79999999999944
young,loft,4,3.85014760171006,N,647.1399999999985,464.79999999999944
young,grouch,6,1.38629436111989,N,687.9599999999991,496.6999999999977
young,spire,5,4.56434819146784,N,694.2000000000028,500.99999999999767
young,plate,5,6.48768401848461,N,587.9300000000007,494.6999999999988
young,week,4,8.48755838628655,N,616.2399999999996,445.8999999999995
young,spine,5,5.32300997913841,N,575.6199999999968,483.89999999999844
young,glove,5,4.4188406077966,N,562.9999999999997,476.90000000000043
young,beast,5,5.70044357339069,N,580.5300000000024,483.9999999999994
young,art,3,7.9973268229981,N,557.3099999999987,441.29999999999944
young,lisle,5,1.6094379124341,N,875.8000000000019,508.19999999999806
young,ant,3,4.24849524204936,N,653.4100000000032,473.600000000002
young,chunk,5,4.14313472639153,N,626.9600000000006,447.4000000000005
young,ease,4,6.36302810354046,N,642.4800000000022,474.7999999999988
young,yore,4,1.79175946922805,N,743.2100000000024,473.09999999999883
young,brute,5,4.49980967033027,N,689.3900000000032,466.39999999999867
young,globe,5,5.22035582507832,N,674.4100000000018,476.59999999999934
young,crest,5,4.68213122712422,N,580.6999999999975,481.9000000000012
young,churn,5,3.13549421592915,N,676.5800000000017,452.6000000000015
young,cloth,5,6.69826805411541,N,595.6699999999988,489.2000000000013
young,shirt,5,6.70073110954781,N,593.5800000000025,435.2999999999993
young,froth,5,3.68887945411394,N,777.8599999999966,501.90000000000117
young,czar,4,3.04452243772342,N,825.0499999999964,533.1000000000028
young,chive,5,1.09861228866811,N,756.5900000000021,477.8000000000006
young,east,4,6.64898455002478,N,669.9600000000003,477.29999999999956
young,cliff,5,5.57972982598622,N,626.7499999999981,503.8000000000001
young,moose,5,2.70805020110221,N,601.4999999999981,456.39999999999964
young,dearth,6,2.83321334405622,N,707.539999999997,490.1999999999989
young,bride,5,5.23644196282995,N,547.5200000000009,463.6999999999978
young,roach,5,4.74493212836325,N,632.8900000000008,438.00000000000165
young,base,4,7.08002649992259,N,630.79,451.7999999999988
young,zone,4,5.31320597904179,N,589.3600000000012,466.7
young,face,4,8.98732181285012,N,522.5000000000018,448.9999999999981
young,chop,4,4.88280192258637,N,595.2699999999998,454.49999999999835
young,sketch,6,5.04342511691925,N,602.0300000000016,480.1999999999985
young,woe,3,3.89182029811063,N,608.1200000000028,466.7
young,light,5,8.54752839121231,N,552.1700000000002,456.0000000000018
young,fawn,4,3.36729582998647,N,666.1499999999995,469.50000000000125
young,rite,4,4.06044301054642,N,686.759999999999,449.8000000000023
young,plough,6,5.18738580584075,N,677.8799999999991,519.9
young,jack,4,4.30406509320417,N,624.8599999999973,452.6000000000015
young,back,4,10.0020651158971,N,560.229999999998,441.29999999999944
young,chow,4,2.77258872223978,N,749.8899999999986,472.50000000000136
young,cent,4,9.21423278669153,N,646.7200000000024,485.29999999999995
young,batch,5,4.27666611901606,N,610.6400000000034,451.40000000000214
young,bitch,5,5.60947179518496,N,629.5899999999972,474.1999999999976
